name,ingredients,instructions,serving size,picture
Family Pizza Night,Telephone,"1. Take phonebook - look up closest Domino's location
2. Send mass test to the fam
3. Meet at central location
4. Distribute pizza and cheesy bread
5. Eat until you hate yourself",8+,family_pizza_night.jfif
Beer Can Chicken,"1 4-lb whole chicken
2 tbsp vegetable oil
2 tsp salt
1 tsp black pepper
3 tbsp of your favorite dry rub spice
1 can beer","1) Remove neck and giblets from chicken and discard. Rinse chicken and pat dry. Rub chicken lightly with oil then rub inside and out with salt, pepper and dry rub. Set aside.
2) Open beer can and take several gulps (make them big gulps so that the can is half full). Place beer can on solid surface.
3) Grabbing a chicken leg in each hand, plunk the bird cavity over the beer can. Transfer the bird-on-a-can to your grill and place in the center of the grate, balancing the bird on its 2 legs and the can like a tripod.
4) Cook the chicken over medium-high, indirect heat (i.e. no coals or burners on directly under the bird), with the grill cover on, for approximately 1.25 hours or until the internal temperature registers 165 degrees F in the breast area and 180 degrees F in the thigh, or until the thigh juice runs clear when stabbed by a sharp knife.
5) Remove from grill and let rest for 10 minutes before carving.",4-6,beer_can_chicken.jfif
Screech and Coke,"3oz screech
ice
a splash of pepsi/coke","1) Mix ingredients
2) Chug
3) Repeat
4) Yell profanity at randoms",1-2,screech_and_coke.jfif
Banana Chocolate Chip Muffins,"3 large ripe bananas
3/4 cups white sugar
1 egg
1 tsp baking soda
1 tsp baking powder
1/2 tsp salt
1 1/2 cups flour
1 cup chocolate chips
1/3 cup melted butter","1) Mash bananas and add remaining ingredients. Stir until moistened. DO NOT stir too much.
2) Spoon into papered muffin tins until they are 3/4 full.
3) Bake at 375 degrees F for 20 minutes.
4) Enjoy!",8+,banana_chocolate_chip_muffins.jfif
Cheesy Bake,"1 can of cream of chicken soup
All the bacon bits lol
1 bag hashbrowns
3-5 chopped green onions
1 small tub of sour cream
2 cups of cheddar cheese
salt and pepper","1) Add all the ingredients into oven safe pan
2) Preheat oven to 350 degrees F
3) Keep in oven until it bubbles
4) Add cheese/crushed chips on top and broil until melted and awesome
5) Enjoy - exercise for 8 hours post indulgence to work off this heart stopper",6-8,cheesy_bake.jpg
Peanut Butter Balls,"1 cup peanut butter
1 cup icing sugar
1/4 cup butter
2 cups rise krispies
1/2 block parawax
1 pack semi-sweetened chocolate chips","1) Mix together first four ingredients and roll into balls
2) Melt parawax and 1 pack of chocolate chips
3) Coat balls with chocolate and then set on wax paper to cool
4) Enjoy!",8+,peanut_butter_balls.jpg
Taco Nacho Dip,"Sour cream
Cream cheese
Salsa (level of hotness as per desired)
Grated cheese (tons)
Diced fresh tomatoes
Diced fresh peppers
Nachos","1) Mix sour cream and cream cheese together in 1:1 ratio until desired consistency is achieved - make base layer
2) Smooth salsa evenly over cream cheese/sour scream layer
3) Add grated cheese, tomatoes and peppers to top as desired
4) Serve to the family 
",4-6,taco_nacho_dip.jpg
Chocolate Chip Pancakes,"1 1/4 cup flour
1 tbsp sugar
3 tsp baking powder
1 pinch salt
1 egg
1 cup milk
2 tbsp oil","1) Add dry ingredients in one bowl and mix well
2) Mix egg, milk and oil in separate bowl
3) Combine and mix
4) Ladle onto greased frying pan
5) Add chocolate chips/fruit on top as desired
6) Serve with whip cream and bacon",8+,chocolate_chip_pancakes.jpg
White Russian,"1 1/2 oz vodka
1/2 oz coffee-flavored liqueur
1/2 oz milk","1) Mix and enjoy
2) Repeat",1-2,white_russian.jpg
Irish Coffee,"1 1/2 oz Irish whiskey
1 tsp brown sugar
6 oz hot coffee
heavy cream","1) Mix and enjoy
2) Repeat",1-2,irish_coffee.jpg
